"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NS40","NS41","NS42","NS43","NS44","NS45","NS46","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40","NNS41","NNS42","NNS43","NNS44","NNS45","NNS46","NNS47","NNS48","NNS49","NNS50"
1.0215,1.3436,-1.8473,-0.3121,0.098,-0.8118,0.3072,0.022,-0.1356,-0.0314,-0.131,0.3301,0.425,-0.1591,0.5569,0.8593,-2.501,1.256,-0.3691,-2.1492,-1.0033,-0.9588,0.1419,0.8618,-1.833,-0.8082,-0.6196,-0.5957,0.6533,-0.8741,-2.7559,-0.5893,-0.7171,-0.5803,1.0012,0.6964,0.5489,0.1015,0.6558,0.4071,0.2341,0.7046,-0.7019,-0.8121,0.206,-1.6462,-0.0136,-0.8298,-1.5639,0.6181,0.0278,1.1627,0.1581,0.5522,1.1212,-0.5007,2.6412,0.7454,-0.1363,-2.7308,-0.2072,1.2414,1.7304,-0.3882,-0.2836,0.0907,-0.9796,-1.1944,-1.3997,0.003,1.2203,-0.4665,-1.0167,-0.1895,0.0984,0.0561,-0.3287,0.0487,-1.1152,-1.6067,0.4108,-0.1517,0.9452,0.9831,0.425,-0.0925,1.2696,2.5773,1.4377,-0.7148,0.1072,1.7263,0.7781,-0.6207,-1.5007,0.3086,-0.1596
-0.9451,1.2495,-1.9701,0.0313,-0.1406,-0.7978,-2.6418,0.383,0.326,0.3286,-0.0016,-0.307,0.1303,-0.5403,2.6173,-0.6533,0.1353,-0.4708,-0.1247,1.1842,0.1721,-1.1275,0.0841,0.2639,-1.3104,0.4563,-0.8939,0.9229,-2.363,-1.0084,0.6175,0.4678,-1.6864,-0.6337,1.1,-0.374,-0.2152,0.8521,0.5817,1.4773,0.9156,1.0124,-0.7064,0.8612,0.4816,-0.8498,-0.3798,-1.2387,-0.6335,2.0092,-1.447,-0.0121,-0.4909,1.807,-0.7182,-1.3834,-1.4465,0.8682,0.0111,-1.5277,-0.5893,-0.3972,-0.2772,1.3264,-3.0053,-1.5696,-1.2437,-0.0178,0.9822,0.5833,-0.4249,1.1293,0.2229,0.5749,-1.1178,0.006,0.6203,-1.3447,2.2004,-0.4645,-0.0834,-0.754,-0.3155,1.0914,0.862,1.267,-0.618,0.6299,0.551,-1.1457,0.2899,1.1123,1.0827,1.4148,0.4618,0.1478,-0.0906
-0.2383,1.3813,-1.2284,1.5355,1.6789,2.2124,-0.5445,0.2462,0.3603,0.0708,0.5907,-0.6301,-1.2921,-0.6761,-0.1617,-0.3205,-0.4867,-0.3118,0.4498,-0.2866,-1.1558,0.3507,1.9712,2.109,2.5424,-1.0287,0.1284,-2.1198,1.3625,-1.0157,2.8174,-0.1561,-1.6334,-0.7824,0.5221,0.0878,-1.3217,-0.8418,0.8489,-0.9122,-1.0762,-0.2431,2.0819,-0.8108,-1.5376,-0.0181,-2.5638,0.9283,0.0245,1.121,0.4512,-0.494,0.4064,-1.7278,0.7297,-1.8217,-0.0485,1.5919,-0.5324,-0.4624,0.7301,0.4235,-0.7516,0.7728,-0.8082,0.2118,-0.6073,-0.087,0.5374,1.277,-0.0912,-1.4695,1.7454,0.4457,0.2366,0.0889,0.5422,-0.958,1.1777,0.7674,-0.8383,0.0265,-0.3039,0.7216,-1.5408,-0.2519,0.1364,-0.7229,-0.2816,2.7111,-0.1589,-0.5543,-0.1704,0.4673,0.3993,1.4438,-0.8906
-1.1111,-1.3739,0.232,2.0377,-0.2316,-1.3403,-1.3402,0.6342,-0.6122,-0.5296,-0.2996,1.2943,1.6555,-1.7471,-0.1896,-1.1756,0.1473,0.1411,-0.6884,-0.4839,-0.1571,-1.0885,-0.0045,0.8082,-1.1809,-0.8444,0.3265,0.5684,-1.0538,0.2518,-0.4425,0.4485,0.087,0.581,-0.3936,0.3305,-0.5752,0.0376,-1.6503,-0.2126,-1.0744,-0.0598,2.3316,1.6387,-0.1203,-0.2177,0.4323,-1.1957,-0.4018,-1.3547,-0.3009,-0.5057,-1.5824,0.0368,-1.5351,0.2877,-1.3855,1.8102,-1.0498,0.9038,0.6872,-0.7932,-0.9065,0.2537,0.578,-0.524,-0.405,-1.1678,-1.2236,1.5698,-0.5767,1.0112,1.5917,-0.725,-1.2082,-0.0636,0.9224,-0.0339,1.4468,1.0471,0.4717,0.9548,1.2096,0.3465,1.3482,0.0574,-0.8578,-0.0235,0.8766,-0.9941,0.5176,1.1861,0.3856,-0.6962,1.1683,-0.1066,-1.7084
0.0204,1.1352,-1.7419,0.9443,-0.4728,0.9153,-1.5565,-0.2558,0.1889,-0.4351,-0.1894,0.3395,-1.4977,0.5619,-0.2335,-1.9876,-0.4564,-0.5605,0.3273,0.9165,-0.5728,0.5316,0.4334,0.9062,0.7484,-0.3316,1.0886,-1.1886,-0.3681,-0.4483,-0.4588,0.3815,1.6389,2.3429,0.2104,-1.6547,-0.2525,-0.3551,0.1463,0.7138,-0.0661,-0.3948,0.6165,0.4721,0.0974,-0.1928,-0.4027,0.6887,2.7899,-0.5374,1.4599,0.7591,2.2092,0.5018,1.1458,1.9385,0.0197,0.4943,0.2266,0.8276,0.7808,-0.4749,-1.3517,-0.419,0.0745,-0.825,0.7868,0.1568,0.4617,0.9402,-0.0523,0.3856,-0.7837,0.4387,-0.1012,1.3583,1.5345,1.2082,0.4246,-1.7463,-0.0513,-1.3083,0.8622,-0.72,0.8292,1.1186,0.8006,-1.5325,1.4215,-1.0895,0.5415,-0.7722,0.0632,-0.7716,-0.3916,2.099,-0.7041
-0.915,1.3182,-1.7568,0.3108,1.3437,-1.657,-1.4679,-2.2106,-0.9059,1.9907,0.1269,-0.0116,-0.7555,0.206,1.1442,-0.1487,-0.3502,-0.0356,1.7273,-0.8838,0.011,0.7068,-1.1822,0.6108,0.3426,-1.3155,-1.4001,2.0251,-0.8211,1.9125,-0.2062,0.4527,-0.0869,-1.3388,-0.0525,-0.6098,0.0164,0.1128,0.1583,-0.1331,0.1481,0.2413,-0.8642,0.443,0.601,0.1009,0.6335,-0.7521,0.2529,-0.0069,1.2126,-0.2042,0.0887,0.0346,-1.5694,0.7328,0.0059,2.0329,0.7236,0.4014,-0.6543,-0.0472,1.0109,0.4159,-1.2477,-0.047,-0.873,-0.4983,-0.633,-0.3362,2.5071,-0.0388,-0.0874,-1.0284,0.5482,-0.3216,-0.7929,0.9248,0.9903,0.4357,-1.0923,2.6682,-0.7353,0.3853,0.8619,0.4359,1.3754,-0.0803,2.08,-0.9459,0.3648,-0.5338,1.174,0.106,-0.4215,0.9474,-0.1269
-0.8338,0.3303,1.3566,-0.7273,0.5093,0.6547,-0.4234,0.1769,-1.3181,-0.2312,-1.341,0.7038,0.2992,0.2627,-1.6388,-0.3385,-0.0925,0.83,-0.3488,-0.4774,-1.1631,-0.979,0.109,2.2675,-0.2553,0.2688,-0.5689,1.0022,-1.4232,0.0679,-1.9582,0.6516,1.383,-0.5054,0.1173,1.2699,1.279,-0.9279,0.0891,-1.8055,-3.6944,1.3806,-0.221,0.2249,0.2258,-1.0736,-1.7617,-0.158,-1.3919,0.9628,-0.8269,0.5933,-0.5086,-0.8441,-0.048,0.4005,-1.6861,-1.6947,-0.8844,-0.5349,1.4584,0.356,0.2967,0.2812,1.1718,0.9827,0.4,0.3417,1.9524,-0.2047,1.2874,0.0571,1.0108,-0.028,-2.3875,-0.193,0.1041,0.0464,-1.1612,-1.167,-1.0088,-0.0031,0.9917,0.4828,2.7537,0.3328,0.5461,1.8021,-2.0131,0.4093,-2.5082,-0.8421,-0.2974,0.8352,0.8057,1.9661,0.6319
0.0611,2.3369,0.1218,-1.103,-0.9892,-0.2123,-0.1561,0.6923,0.1493,-1.4571,1.2908,0.0274,0.0353,-0.4821,-2.2796,-2.1348,0.3161,-0.8542,0.3086,1.4817,-1.6895,-0.7921,-0.8504,0.8623,1.8722,-0.6675,0.741,0.0417,0.2629,-0.6072,-0.4371,-0.1137,-1.5191,-0.355,0.1053,-1.1485,-0.7206,0.1544,-0.29,0.7345,0.4278,0.5806,0.0076,0.0701,-1.2549,0.1532,1.4957,0.736,-0.6945,1.2422,0.2136,0.1583,0.792,0.7007,1.5047,1.8388,-0.1261,0.6902,-0.8086,-0.352,0.6114,0.3756,1.81,-0.5534,-0.2048,-0.2,-1.1413,1.1987,0.5049,-0.4078,-1.0778,-0.6396,1.9115,-0.1537,1.8272,0.6534,0.0247,0.6111,1.0943,0.4866,0.0568,0.912,0.1807,-1.8364,1.1102,-0.7701,-0.2481,-1.0466,-0.1345,0.0893,1.1778,-2.3904,0.6475,-0.2192,1.4124,-1.0469,-0.5577
-0.0766,0.2801,-0.5527,0.2622,-0.9827,0.7386,0.1908,-1.0195,-0.1875,-0.117,-0.9239,-0.9766,-1.0214,-0.1655,1.1766,0.0633,-0.1161,-0.3908,0.0645,-0.77,0.514,-0.1086,0.7852,-0.3652,-0.4853,2.4771,-0.3205,-0.3578,-0.0579,0.8017,0.1052,-0.9016,-0.9067,0.0934,-1.1419,-0.7988,-0.5216,-0.4083,0.5235,-2.6689,-0.1507,0.2427,-0.5139,0.9354,-1.2128,0.6917,0.4953,0.1873,1.1195,-0.6889,-1.2782,-1.6376,1.2418,-1.2266,-0.57,0.378,1.867,-0.4828,0.2443,1.7165,0.8343,-1.2117,-2.0914,0.9183,0.5369,-1.8849,0.4249,-0.1761,-0.081,0.2765,0.1693,-1.2633,0.1481,0.85,0.5797,1.1282,0.0299,-0.6676,-0.7567,0.8183,0.8136,-0.8537,0.7714,-1.875,-2.0638,-0.6765,0.0966,0.4714,-1.4975,0.3764,-0.0526,0.4048,-0.3795,-1.0988,-0.4314,0.0396,-0.6734
-0.4033,1.0697,1.1902,-1.5414,0.4378,-0.9607,-1.5896,0.6087,-2.6161,0.6921,-0.7326,0.1302,1.674,-0.2175,0.3401,0.9474,-0.2503,0.8266,0.5507,1.3838,-0.568,-1.2333,-0.2066,-0.353,-1.2128,1.6975,-0.7364,-0.2505,-2.1302,-0.4732,0.2197,-0.1341,2.1495,1.435,-2.3273,-0.7331,-0.9582,-0.2757,-0.1908,-0.2879,-1.6384,-1.5251,-1.3949,0.2924,-0.0717,1.409,-0.4299,0.0578,0.7653,0.2885,-0.0292,-0.7345,-0.8942,0.3395,-0.7127,-1.0565,1.3406,1.551,-0.4505,0.1499,-0.4409,-2.3968,1.6234,1.1414,-0.1362,-0.7419,-0.4893,0.4624,0.5762,0.8384,1.194,-1.3486,-1.4881,0.1897,0.6623,-0.7768,-1.1725,1.0599,1.3349,1.6405,0.6921,-1.8587,-2.1618,-0.4794,-0.5564,1.7083,-1.234,0.6017,0.0414,-1.0789,0.8398,-0.7256,-0.072,-1.6431,-0.1437,0.1109,0.6288
-0.1948,-0.7188,0.9811,0.1609,0.5587,1.9293,0.9138,2.0997,-0.0281,0.0782,-0.8779,-0.1407,-0.6496,0.6298,-0.4399,-1.8871,-3.8196,0.5785,0.977,0.5715,-0.1919,0.2153,0.6288,2.4798,-0.7062,0.961,1.0311,1.477,-1.2852,-0.633,1.2804,-0.1597,-0.3463,0.7185,1.5791,1.1707,0.72,-0.5944,1.8659,-0.1869,-1.6436,0.5416,1.4124,1.3569,1.0667,0.5008,-0.1023,-1.1432,-0.741,0.4613,0.8685,0.6259,0.6459,0.5004,-0.8737,0.0534,-0.785,-1.1321,0.8297,1.2634,-0.5642,1.1182,0.3294,0.1833,-0.5902,-0.8419,-0.0552,0.9242,-0.5752,-1.8288,-0.5289,-2.0444,0.6115,1.1002,1.063,1.1272,-0.8614,0.3157,-0.3811,-0.4943,0.4996,-0.1564,0.7939,0.9665,-1.2159,-0.2116,-0.9505,0.4581,-0.7731,1.9085,-0.921,0.6591,0.2312,0.229,1.1707,-1.6901,0.3705
0.0435,-0.9819,0.6031,-0.8446,0.566,-0.5432,0.5137,-0.6627,-0.1029,-0.3312,0.0232,0.1768,-0.269,1.353,-0.3739,1.0631,1.2442,0.3139,-0.8455,-0.501,1.1181,0.1365,0.0223,0.587,0.2529,-1.877,0.5529,-0.6186,1.5549,0.8007,1.6279,-0.2685,-0.5548,-0.4345,-0.4329,0.3511,0.2958,-0.6385,-0.8194,0.0074,0.3207,-0.9425,-1.1507,0.6484,1.2612,-0.7823,-0.0109,-1.0876,0.104,1.6688,-0.8944,1.4708,0.6883,-0.8813,2.1496,0.7497,-0.1261,-0.386,1.7233,0.4108,-0.2347,-2.0459,-0.6634,-0.2092,-0.295,-1.6297,0.9472,0.0055,1.0073,0.2881,1.9433,-1.8085,-0.1957,-0.3337,-1.3896,2.1985,-0.2976,-0.4047,-0.8617,0.4787,-2.4768,0.9325,0.3746,0.7271,0.7908,0.641,-1.1972,1.4045,-1.0383,0.7108,-1.2213,-1.6655,0.1266,0.6896,-1.071,-0.3839,-1.8229
0.0177,0.0091,-0.3174,0.6135,-0.8125,0.7163,-0.0589,-0.0287,0.2033,-0.281,-0.0448,-0.4383,1.775,-0.7589,1.5811,1.1209,1.9561,0.1987,0.1047,0.9148,-0.2898,-0.4184,-0.4975,-0.1774,-0.852,1.0851,-1.3861,-0.7666,-0.6266,0.0614,-0.3321,-0.4246,-2.1513,-0.506,-1.2177,-1.1726,-0.5377,0.7896,1.7765,0.1701,-0.0216,-1.3198,0.6122,0.1877,1.2611,-2.3776,-0.3553,-2.1765,-0.5018,-0.9569,-0.8783,-1.5782,-0.683,-0.4002,0.0073,-0.3901,-0.5362,-0.7184,-0.0369,0.6528,-0.212,-0.9752,-0.1327,1.0746,0.4831,-0.7441,0.239,-2.215,-1.5155,-0.1574,-0.6436,0.146,-0.8046,0.9464,0.8305,0.5193,0.2357,-0.9798,-1.1203,-0.6792,-0.3247,0.9732,-2.7567,0.0915,-0.3032,0.202,-0.2104,-0.2973,-2.4139,-0.3024,1.7333,-0.876,-0.8372,-0.1427,0.8463,-0.5105,-1.1642
0.2563,1.0946,-0.3958,0.3695,-0.4545,-0.6811,0.1139,-0.7352,2.3846,-1.0681,-1.7564,-0.1047,0.3565,-0.2233,0.4313,0.6949,0.5444,0.3242,-1.7909,0.4143,-0.0847,0.1632,2.0941,0.3318,0.9284,1.9859,-0.7408,-0.1125,-0.0567,1.9193,-2.3914,0.686,-0.8809,1.457,-0.0085,0.9688,-0.782,-0.2742,-1.1549,1.2185,-2.1308,-1.6281,-0.0596,1.1853,-0.5053,-0.4374,0.5525,-0.6221,-0.9703,1.4848,0.5627,0.3679,-2.5126,3.6389,-1.7492,-1.1317,-0.6921,-2.201,0.0032,-0.4405,-0.0532,1.3457,1.6223,0.1021,-0.2293,-0.6308,0.0179,0.0422,0.3416,-2.0458,0.5828,3.3834,-0.3412,-0.155,0.0915,-0.1415,0.3216,-0.0774,0.9511,-2.4753,-1.0099,0.1049,0.0761,0.8934,-1.906,0.1273,0.0948,-0.172,-1.0997,-0.0705,1.1228,-1.8712,-0.3393,0.5099,0.1103,2.3306,-0.5135
0.3492,0.2703,0.5677,-2.2909,1.3238,-1.2654,0.9821,-1.2185,0.1283,0.8616,-0.3513,0.5038,0.1259,-1.5823,1.8821,1.264,-1.1999,0.8032,0.6201,-0.5437,-0.7331,0.2455,0.5728,2.3506,-1.1443,-2.0003,-0.1977,-2.0103,-0.0838,-1.4015,0.4979,0.0078,0.4873,0.0832,-0.1415,-0.4534,-0.1219,-0.4935,-0.0023,-2.1472,0.3842,-0.1201,1.9138,-1.1652,0.4928,0.8528,1.176,-0.2838,-0.5945,2.0168,1.3466,0.0731,0.1647,1.4832,0.4849,0.4132,0.2193,-0.6706,-0.6795,0.9539,-1.1662,0.0815,0.3174,0.1909,0.4602,-0.6797,0.9383,0.2567,0.3591,-1.1764,-0.6506,-2.2706,1.6109,0.0015,-2.7642,0.0365,1.312,-0.9299,0.0092,1.4597,0.3297,-0.1254,-1.1408,-0.0977,0.9508,1.0957,0.3231,-1.4527,-0.3056,-1.8633,-0.1863,0.5546,-1.0455,-0.5348,0.5316,-0.6372,1.2027
