"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NS40","NS41","NS42","NS43","NS44","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26"
0.0723,1.5018,-0.2748,0.1647,-0.2847,0.1563,0.1135,-0.6738,-0.3112,0.48,-1.1462,2.2647,-0.9691,-0.0245,0.8322,2.2205,-0.7127,0.2725,-0.1719,0.9942,0.2427,1.2265,-0.1214,-0.9057,0.4084,0.5484,-0.6703,0.3461,-0.1469,0.3602,-0.9198,-0.7489,0.587,-0.643,0.2138,0.4835,1.1098,-0.669,-0.5247,1.0464,0.2408,-0.0805,-0.027,-0.0993,-0.2434,0.403,0.5025,0.467,0.5921,-0.3959,0.1961,0.1172,-0.6387,1.0666,1.1589,0.0917,0.7771,0.0901,-1.1219,-1.5935,-0.0393,-2.1,-0.6536,-1.3784,-1.0245,0.5919,0.0295,-0.0129,-0.4501,-0.0879,-1.0258
0.0258,0.2909,-1.1723,-0.9071,1.6484,0.034,-0.1657,0.2088,-1.6746,-0.5702,-0.5209,0.5794,-0.494,-0.08,0.4532,0.5846,0.7472,-0.5487,-0.2367,-1.0171,0.6531,-2.1094,-0.6557,0.2203,0.0722,-0.1241,-0.4678,-1.2764,0.5123,-0.2835,0.3628,-0.4354,-0.5806,0.3306,0.4996,-0.5026,0.5877,-0.0751,0.8249,0.7818,-0.679,0.116,-0.8703,-0.7531,0.4104,1.6487,-0.6813,-0.0268,-1.3281,-0.9655,1.5077,-0.3497,2.0055,0.6761,0.4271,-0.6207,-0.0554,0.4533,-1.1076,-1.0841,-1.8416,0.5007,0.4815,0.0771,-0.9516,-0.6184,0.5291,-1.3826,-1.3224,-0.202,-2.2002
3.1795,0.0585,-0.1735,0.9009,0.6015,0.3189,-0.5072,0.752,-0.1448,-2.2716,0.6585,-1.1144,-0.5664,-1.3893,1.1525,-1.4304,-0.0137,-0.062,2.0976,0.638,0.7246,-0.3543,1.0128,-0.5379,-0.0236,-1.1938,0.5341,0.3243,1.7527,0.5197,-0.6466,0.9829,-0.5232,-0.317,0.8617,0.5633,1.457,0.6447,-1.4179,-0.4929,0.4915,-0.42,-0.8149,-0.2487,-0.2807,-0.4604,0.1789,-0.7907,-0.2964,1.1509,1.1509,2.1366,0.8985,0.4785,0.525,-0.269,0.1101,-1.0252,-0.7512,0.1779,0.8486,-0.5922,-0.4262,-0.4928,-0.6841,0.906,1.3618,-0.6658,-1.0817,0.2586,-0.1607
-0.102,0.2037,-0.233,-0.1245,-0.7071,0.112,-2.1783,-0.3856,-0.903,-0.4372,1.5763,0.6117,0.207,-0.5335,2.5783,1.0396,0.8353,-0.1014,0.0777,-0.9737,-0.9229,-1.3974,-0.2875,-0.762,-0.9213,-0.7157,0.2987,0.0235,-0.2046,-0.2898,0.4511,-0.4367,-0.4934,0.778,-1.2882,-0.766,-1.0816,-1.3987,0.597,-1.2086,-0.298,-0.998,0.7159,-0.9125,0.2213,-1.3506,2.1426,-2.0577,-0.5026,-1.2671,0.5705,-0.583,-0.8519,1.292,0.8582,0.2019,-0.1688,-0.5238,1.937,-1.7848,-0.3964,0.8493,-0.2744,-0.7094,0.2408,-0.0572,-1.6744,-0.9323,1.6375,-0.3254,-1.5976
-1.0757,2.3477,0.0397,-0.4335,-0.3103,-0.2016,-0.3495,-0.5777,0.0445,1.8405,0.177,0.2821,-0.3317,1.3837,0.3113,-0.861,-1.1451,1.7858,-0.6216,0.2971,-0.2799,-1.1743,-0.266,0.2966,1.6099,-0.4362,-0.0638,-1.4425,0.5072,-0.5655,1.4993,-1.0609,-0.125,1.0218,1.5599,0.5826,0.769,-1.0957,1.5229,-0.2198,-0.7467,-0.7896,0.5872,-0.9574,-0.291,2.3288,-0.7926,-0.2067,1.8345,0.7984,0.9148,1.3898,-0.1576,-0.5108,-0.2268,-1.5329,0.0437,-0.1575,0.8055,0.7287,-0.0634,3.0239,0.8697,0.567,-1.5619,-2.0045,-0.2933,1.0363,-1.5868,0.2618,-0.3562
-0.1718,-0.6816,0.2283,-0.3112,-0.5575,0.4711,0.7411,0.4202,2.0629,0.2286,-0.0982,-1.975,-0.2844,-1.6607,0.1812,-1.1471,-0.4603,-0.9469,1.5096,1.4231,-0.297,0.7844,-0.819,0.9138,0.7977,0.46,2.6677,1.0483,-0.8564,0.9427,0.0424,0.5666,0.2568,-1.4007,0.0892,0.8003,0.2338,-1.9348,-1.5701,-0.5309,-0.0987,-0.2829,0.6021,-0.0292,-1.905,0.9838,0.4172,-0.775,2.2739,0.7204,1.0811,-0.0504,-0.7914,-1.132,0.4455,1.4814,0.2495,0.7761,-0.7465,1.4173,0.8661,0.1428,0.8136,0.4507,0.0439,0.6137,2.3211,0.0789,0.1257,-0.8616,-0.0879
-0.1611,0.6123,0.9161,-1.3891,-0.2677,1.8649,1.4939,-0.9771,-0.484,0.5201,-1.4621,1.9458,0.4831,0.7908,-0.675,-1.368,0.8912,0.7958,0.6861,-0.5323,-1.127,0.165,0.5039,0.7018,-0.9811,0.8479,-0.4508,0.337,1.1531,-0.4639,-0.3339,-1.7135,-1.2226,0.4069,-0.288,0.4111,-0.251,-0.7897,1.0897,0.2096,-1.6358,-1.3824,0.3846,-0.0011,-0.2285,-1.3564,-0.4808,0.8531,-1.0592,-0.4937,0.375,0.1772,-0.0334,-1.3851,-0.43,-1.4495,0.7708,0.0753,-0.5097,-0.694,0.2708,-0.3564,1.5553,-0.7118,0.9762,0.3175,1.2139,0.0836,0.2836,0.1807,0.7014
0.4421,-2.1324,-0.559,-1.7303,-0.4228,0.8402,1.0077,0.5904,0.8347,0.1043,0.7512,0.0387,0.1398,-0.1805,-1.4809,0.2927,0.8306,-1.2558,-1.1183,0.8541,-0.9235,1.7344,-0.2659,0.2827,-1.1057,-0.0066,0.1763,1.0592,1.1096,0.472,-0.9801,-1.0141,-1.3944,-0.1326,0.2669,0.2073,-0.4734,2.2925,-0.0962,0.4914,0.718,0.0342,-2.1815,0.7344,-0.7357,0.2246,-0.7963,-1.1941,0.9323,-0.3351,0.8454,-1.1835,-2.0211,-1.3642,2.036,-0.4972,0.8618,-0.7258,-0.3041,-0.5993,-0.8062,-1.0839,1.3574,-0.9164,-0.4778,0.6461,-0.5591,0.6904,1.5332,0.296,-0.6601
-0.3893,0.055,-3.2241,0.5254,-1.0581,0.5198,-0.004,-1.1873,-0.6168,-0.7266,0.3703,0.5933,0.9561,-0.3331,-0.2021,0.0188,-1.0487,0.5207,-0.7555,0.2171,-1.1438,-1.6819,-0.6845,0.9893,-0.3403,-0.4564,-0.2004,0.8199,-0.3257,1.0785,0.0764,-1.0588,-0.5239,-0.2888,1.5759,-0.4522,-0.6248,-0.2903,-1.8878,-1.604,0.6922,-1.207,0.3328,0.8458,0.945,-0.6405,0.0646,-0.4346,-0.0814,-0.4108,-0.6226,-0.1905,-0.7257,-0.3538,-1.6932,1.6919,0.0033,0.3063,0.3007,-1.8687,-1.6582,0.2505,-0.9126,-0.286,-0.383,0.2847,1.0537,-2.1562,0.9414,-0.3703,-0.1361
0.4218,1.7772,1.0805,1.5437,0.5937,1.1607,-1.4663,0.5547,-0.2614,-1.2597,1.6182,1.9624,-1.9847,0.4736,-0.224,0.8296,-0.1566,-1.4833,0.6065,-0.0241,0.4431,0.9348,-1.7457,1.0632,0.0171,-0.6322,-0.1324,-0.3285,-1.2613,-0.0212,-0.5317,-0.9491,-0.4563,1.6098,1.4411,-0.708,0.3478,0.9285,-1.2837,0.3195,-1.1273,0.1589,-0.5486,0.8441,1.4111,-0.7555,0.7135,-0.3663,-0.6566,-0.8322,0.2526,-0.2063,0.4571,-0.5886,-1.244,-0.8266,0.7528,-0.6811,-0.4818,-0.3052,0.6787,-1.1012,-1.0928,-0.9067,0.6105,1.0797,-0.4282,-0.1789,-0.2813,1.0868,1.066
-0.8864,-0.5183,1.431,0.9511,-0.2471,0.0076,0.0271,1.3709,0.9193,0.3843,-0.3732,0.5809,1.7172,0.0503,-0.5181,1.2725,0.104,2.1418,1.2153,-1.3641,-0.6324,-0.1767,0.7106,0.5436,0.6689,-1.6176,-1.4402,0.1368,1.6972,-0.5995,-0.277,-0.2969,-0.1086,1.4152,0.4069,-0.8485,-0.6679,-1.3534,0.0532,-0.7743,-1.8934,-0.0456,2.6433,-0.4523,0.3297,-0.0606,0.3639,1.5242,0.5981,-0.029,0.0451,1.584,0.0599,-0.0342,1.5049,1.0973,0.7062,0.4186,0.8812,-0.2513,-0.1798,-0.3104,0.6855,-0.231,-0.8422,-0.9613,1.1901,0.05,-0.2164,0.4922,0.9112
0.3021,0.7826,-0.8586,0.51,0.3192,1.1398,-0.7871,0.0703,0.5179,0.0874,-1.0519,0.3666,1.4586,-0.3488,1.0122,0.2792,-0.8283,-1.997,-0.4471,0.3237,0.0687,-0.986,-0.5945,-0.0546,0.0924,0.7514,-1.428,2.0704,0.9063,1.0622,-2.1614,-0.3058,0.5844,0.2911,1.439,-0.4989,0.2755,1.8007,-1.6523,-1.6382,1.7194,1.6203,0.3832,-0.6217,-0.7138,2.0695,-0.5039,0.8244,-0.0146,-0.7853,0.6213,-0.3698,0.3595,-0.8959,-2.1725,0.928,-1.487,-0.5408,1.0762,-0.6172,-0.3791,1.2559,-0.3206,-2.7691,0.286,-0.6637,-0.1145,-0.1709,-1.6159,-0.668,1.9298
0.1302,-1.0005,-0.3452,1.2538,-0.4788,-0.9014,-0.8702,-1.7483,0.6452,-0.3472,-0.8055,0.2093,-1.6366,-0.9586,-0.9776,1.5807,1.9605,-0.4798,1.042,-0.8634,-0.9011,0.1232,-0.098,-0.6356,0.1737,-0.6271,-0.366,2.7215,-0.2399,-0.6518,-0.1227,-0.1418,-1.225,-0.1925,-0.0522,2.3012,-0.842,1.642,1.2747,1.0812,-1.314,-0.5506,0.5869,-1.1332,0.5691,-1.9799,-0.0383,-0.4678,0.848,-0.8473,-1.4148,-1.3469,0.6358,1.7586,1.078,1.0631,-2.7475,1.4746,-0.2646,1.7471,0.6025,-0.4064,-0.7084,0.0893,-1.2558,0.1963,-2.0454,-0.3337,-0.0233,0.1108,0.4534
-0.4129,0.321,0.5872,0.3174,-1.2281,0.3247,-0.4017,0.415,0.2999,-0.4526,0.6211,-0.714,0.5819,-1.203,-0.6833,-0.1123,-0.065,2.3821,-2.8955,0.0423,-0.9777,-0.83,-0.3937,-0.8896,0.8094,-0.5983,-1.2315,1.5063,1.4393,-0.0518,0.4764,0.5692,0.3512,0.2251,0.0358,0.365,0.1709,-0.1357,-1.8776,-0.4326,0.1009,-0.9683,1.3347,0.9426,-1.1244,0.133,-0.8202,-1.0198,-1.8109,0.1891,-0.4935,0.8268,-0.6162,-0.326,-0.3978,-0.5297,1.1252,1.2848,0.9535,-1.0887,-0.278,-0.1463,1.4249,0.7058,-0.4419,-0.8018,1.5164,-0.7113,-0.1843,-0.4441,0.4216
-0.5331,-2.8697,0.5705,-0.8906,0.2604,-1.5135,-0.0644,1.6041,-0.9303,0.3138,0.3252,0.2026,0.1758,1.8638,-1.2337,-0.3552,-0.2364,-0.9025,-0.7948,1.333,-0.7866,-1.0675,-0.1534,0.3123,0.7285,-1.3138,0.2669,-1.0403,-2.0057,-0.34,-0.3278,0.5512,0.108,-0.9216,-0.5989,0.8171,0.8706,0.9404,-0.1938,-1.56,-1.3686,-0.2677,-0.0601,0.8633,0.2148,0.5422,0.5414,1.0984,0.5507,1.0371,-0.0913,0.9046,-0.9682,1.0109,0.1605,-1.2511,-2.1413,0.008,0.3842,0.1348,-0.6706,1.3142,2.2204,1.533,1.2202,-0.8139,-0.242,-1.2457,-0.375,0.2169,-1.5025
-0.985,0.4836,-0.2919,0.5187,-1.6354,-0.8965,-0.0761,0.3314,2.0493,0.424,1.0295,-1.606,0.0617,0.3963,0.6048,-0.6471,-0.7785,0.3437,1.1461,0.1972,0.7766,0.4553,1.3819,-1.0179,-0.8771,-1.6963,-0.3104,0.8697,0.2171,0.2506,0.4865,-0.1299,0.4195,0.6193,0.0103,0.1153,-0.7618,-0.652,-0.7897,-1.39,-1.4092,0.5783,-0.2099,-0.1149,-0.4017,0.4073,-0.4377,-1.2331,-0.2887,2.012,-1.2735,-0.7903,1.0042,-0.9312,0.8795,-1.4605,-1.256,0.6304,-0.9618,-1.076,0.8705,0.4424,-0.4986,0.3492,0.2185,1.6041,-2.0414,-0.5331,-0.8168,1.7778,-2.0285
0.6279,-0.458,-0.7553,-0.1262,0.6632,-0.041,-0.1112,1.9922,1.8312,-0.7333,-0.4823,1.3926,-0.5183,0.1098,0.5502,-1.3533,-1.5079,-0.9545,-0.2916,0.0501,0.1359,-0.4831,-1.7004,0.6194,-1.0846,-2.506,0.1812,-0.6955,-1.8722,-0.5848,-2.0432,-0.0799,1.1624,1.6349,0.457,-1.3428,3.0084,-1.6168,-1.2431,-0.0624,0.2199,-1.5138,-1.9835,-0.4591,1.452,-0.7155,-0.3665,-0.4253,0.7886,-0.4786,-0.2176,0.6124,1.0411,0.0434,0.3792,0.7993,-0.2062,-0.9213,-0.0395,1.3922,-1.5182,2.4477,0.6648,1.7006,-0.005,2.5015,0.8067,-0.1575,-0.3913,0.4004,1.5998
-0.5482,-1.4037,0.1094,1.2418,0.7726,0.3501,-3.0299,-0.3116,0.5813,-0.4761,-1.3274,1.5499,0.139,-0.2584,0.4808,-0.0126,-1.8372,-0.8001,1.5825,-0.8461,0.6198,-1.5109,-0.0869,-0.2252,1.3112,-0.7367,-1.4401,0.0658,-0.4547,-0.0788,1.1446,0.978,-0.2496,-1.6429,-0.8378,-0.678,0.5469,0.214,-0.9919,0.8438,0.0279,1.2581,1.1112,0.2269,-0.5423,0.1756,0.2666,-0.1642,-0.7138,1.0625,-0.188,-1.5047,-0.4928,0.045,-0.4838,-0.7307,-1.579,-0.7037,-0.0912,-0.8743,0.5878,-1.3765,-1.1482,0.3617,2.0828,0.1551,0.0583,-1.9164,-1.3393,0.3359,-0.4323
1.4965,0.4744,-0.578,1.0834,-1.5151,0.0985,-1.1412,0.5993,1.2081,-0.569,-0.3634,1.306,1.2323,1.1361,-0.4907,-0.1046,-1.1084,0.7094,1.1262,0.2186,0.8056,-0.923,-2.0175,-0.3928,-1.0163,-0.9358,-0.7312,-1.2355,0.1,0.4522,-0.3782,-1.8911,-0.8054,0.0251,0.4375,-1.4144,-0.5674,0.0996,0.2091,-0.3065,0.0389,0.3092,1.0946,-1.6198,1.0957,-0.1747,0.6547,1.3508,-0.8047,-0.0636,-0.4017,0.261,0.3416,-0.4835,-0.8805,0.8606,-0.3105,0.4399,2.2296,0.0584,-2.0295,-0.3546,-1.0476,-1.6052,-0.214,-1.4321,1.0367,-0.2616,-0.88,1.4355,-0.25
