"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NS40","NS41","NS42","NNS1","NNS2","NNS3","NNS4","NNS5"
0.2227,0.8317,-0.4611,1.5982,-0.9212,1.1885,-0.0924,-0.9918,0.5177,-0.0769,0.5465,-1.2314,0.1661,1.143,0.6361,0.1927,0.1545,1.4006,1.0029,0.6761,0.1803,1.4148,-0.3211,-0.9584,0.6214,-0.6103,-0.2286,0.5145,-0.5504,-2.9506,-1.3043,-0.5039,-0.1732,-0.3768,-0.8671,1.7092,0.4077,-1.0714,0.2917,0.7176,-0.8343,-0.2421,0.7625,-0.3316,0.0115,-1.5904,-0.399,0.184
-1.3017,-0.9232,0.1334,-0.6132,0.9589,-1.956,0.7708,-0.3853,-0.2664,-1.0669,-0.1853,0.4563,1.6146,-1.1065,-0.2686,-0.7204,-1.1545,-0.5813,0.4105,-1.6452,-0.8889,-3.5514,1.0322,0.7988,-0.315,-0.8289,-1.4372,-1.165,1.4297,0.7394,1.0316,-0.8788,-1.6973,-1.3194,-0.0671,-0.2671,-1.8361,-0.2321,1.3777,-1.3893,1.3276,2.1349,0.7321,-1.2676,-2.4884,-1.1894,1.1583,0.6261
-1.7496,0.6059,-0.3479,0.5616,-0.0504,-1.6706,-0.2042,0.1513,1.5066,-1.6123,-0.4854,-0.1067,1.7865,0.3029,-1.5727,-0.0769,0.3974,-0.0274,-0.1391,0.4042,1.4227,-0.5509,-1.0975,-0.8294,0.2139,-1.1365,0.3421,-0.6215,-0.5762,-1.5331,0.135,-0.3418,-0.2719,-0.2092,0.7668,-1.1227,-0.1425,-0.1699,0.5766,1.2916,-0.2814,-1.0376,-0.6923,-0.6444,1.5968,1.4717,-0.4856,-0.6263
-1.9755,1.1006,0.043,-2.365,0.3326,0.6194,-1.857,0.2547,1.5621,0.0079,-1.2383,-0.1419,0.4908,-0.0615,-0.4145,-1.8116,0.4565,-0.0055,-1.7424,-0.3528,-1.5488,0.7969,-1.1186,-1.3231,-2.0797,-0.8152,-1.204,-0.4329,-2.1868,0.5043,-1.5433,0.479,-0.3889,0.1983,2.0838,-2.1492,0.3921,-1.4575,1.6164,-0.4424,0.1863,0.5466,-0.8859,-0.5118,-0.5968,0.574,1.1119,0.701
0.0887,1.7821,0.5262,0.234,1.0539,-1.378,0.3858,-1.7619,-0.2847,0.2842,-0.1399,-0.6473,-0.5848,-0.0241,1.5595,-0.231,-0.0074,0.15,-0.0936,-0.5714,-0.4685,0.2216,0.2898,-0.8764,-0.3185,1.7397,-0.3578,0.6058,-0.6325,0.2992,-2.4334,-0.034,0.8003,-0.0255,0.2169,0.6595,1.4582,1.2459,0.2179,1.4418,-1.0842,-0.7187,-1.0224,0.8977,2.9884,0.5313,0.0762,0.6243
-0.637,0.6514,-0.8374,-0.8625,-0.6335,1.7498,1.9112,-0.6649,-0.3916,-0.5372,-0.2592,0.8796,0.0785,0.6155,-1.9046,-0.1784,-0.0289,-0.113,1.5025,0.1668,-0.8519,1.0312,-0.2384,0.3785,-2.383,-1.2748,-0.9357,-1.2542,0.148,-0.6772,-0.4011,-0.3293,-1.7736,0.2246,0.291,1.1601,0.9249,1.2046,1.7022,0.0558,0.1777,-1.8879,-1.2367,0.3853,2.1567,1.0619,-0.8998,-0.3258
-0.9061,1.3621,-2.0386,-0.8754,1.2617,-1.998,0.9814,0.9733,-0.6353,0.3853,0.2359,-0.1263,-0.0946,2.727,-0.4829,-0.2831,-0.0716,1.0001,-0.1311,-2.1163,1.2425,-0.6946,-0.1175,-0.999,-0.0024,0.3146,0.4313,-0.4404,0.7683,1.7569,1.5242,0.1567,0.0087,-1.2864,-1.2081,0.098,1.1481,0.23,-1.1419,-1.5672,-1.0601,-0.9484,-0.4766,1.1589,-0.0934,-0.2227,-1.3617,0.885
0.271,0.2752,2.2763,-0.3953,0.6295,-1.8775,-0.7897,-0.1827,-1.0881,0.3535,0.321,-0.5925,0.8236,1.0631,1.1446,0.5602,0.0631,1.5045,0.8539,0.1089,-1.9384,-2.5693,0.6927,0.1249,1.016,-0.7622,-0.691,-0.5537,-0.4696,-1.3961,-0.3875,-0.1267,0.7887,-1.6973,-0.1316,-0.2104,-0.9475,0.0356,1.3495,1.5067,0.1106,1.8301,1.6019,-0.5717,0.2036,-1.6444,0.9196,-0.298
-1.2734,-0.1159,-0.6332,-1.011,-1.1613,-1.6331,1.6043,0.8532,-1.6807,-0.4204,0.83,0.0846,1.1779,0.2272,-1.2458,-0.1907,1.6948,-1.1287,0.8157,-1.3829,1.1853,-0.0367,-0.5283,-0.846,-1.0378,0.737,-0.7794,-0.0065,-0.3816,-1.2418,-1.1215,1.9316,-0.2885,0.2484,1.3557,0.1179,-0.4388,0.4766,-0.4903,2.0977,-2.2568,-1.5427,-1.8734,0.1453,1.1537,-0.8135,0.9969,1.1624
0.2569,0.9127,-1.0452,-0.4259,0.2662,1.2002,-1.1224,1.1764,-0.5831,0.6343,1.3908,-1.7776,0.1098,-0.4732,-0.1508,-0.6276,-1.2585,-0.7368,0.7576,0.0218,1.776,0.2365,0.9834,-0.8764,-0.0331,-1.6314,-2.524,-0.1277,0.7652,0.2264,-0.6992,0.5856,1.2052,1.0965,0.5075,-0.0157,1.145,0.2073,-1.3381,-0.1266,1.212,0.9635,1.4607,-0.179,0.2606,0.5233,-0.6932,-0.8077
-0.6212,-1.2592,-1.3419,-0.8861,-1.4055,0.7266,0.0113,0.0744,-0.8142,0.2112,-0.2836,0.6991,0.6391,-1.408,-0.5633,-0.4317,-1.1021,-0.2503,-0.3755,-2.0869,1.3626,1.6599,0.0312,0.0468,0.3271,-0.211,-0.1719,-1.1602,0.547,0.722,0.1366,0.8056,-0.7665,-0.1798,0.3494,-1.2812,0.9841,0.376,-0.1388,0.3932,1.9066,0.2647,1.1987,0.2701,0.7871,-1.5696,-0.2517,0.1321
0.8921,0.8162,1.8737,-0.2098,-0.0732,0.1594,-0.6177,1.4756,-0.2563,-1.0098,0.4378,1.895,0.4998,-0.1072,-2.3695,1.0147,0.296,2.3763,0.5482,1.1922,-0.0349,-0.5302,-2.034,0.3137,-0.1773,-1.0643,-0.425,1.1716,-0.2137,0.0635,1.7987,-2.2623,0.8213,0.8209,-1.8769,-1.9933,-1.7993,0.7247,1.2964,-0.5539,-0.1868,0.1301,-0.7308,1.1166,-0.4021,-0.0745,1.0788,-1.3377
-1.48,-0.7768,-0.945,-1.8539,1.0307,0.743,-1.9831,-1.3423,0.3818,-1.1538,0.2094,-0.8671,-0.4682,0.0336,-0.4349,-0.5649,0.5722,0.1352,-2.4959,-2.9612,0.227,-2.2234,1.1795,-0.6655,0.2569,0.8317,1.1272,0.4982,-0.334,2.3724,-5e-04,-0.7869,0.0205,1.2188,-2.6098,-1.0659,-0.3965,-2.032,1.4868,-0.6838,-0.6061,1.253,1.6523,1.7932,-1.624,-0.0059,0.7884,0.7782
0.0073,-0.971,-0.6009,0.7145,0.9421,-1.3319,0.7838,-0.0715,-1.1188,0.1141,0.286,-0.1031,-0.4108,-0.2909,0.1535,2.0417,-0.4268,1.3676,1.4176,-0.9774,1.4403,1.3643,-0.7703,0.5383,-1.0381,-0.231,-1.5656,0.4362,0.8278,-0.995,-1.2483,-0.1077,0.5718,-0.5301,-0.7516,1.5584,-0.6929,0.994,-1.2068,-0.8443,-0.4496,-0.7245,0.7733,2.2516,2.1017,-0.6281,2.5293,-2.2868
