"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29"
2.8276,-0.264,0.0357,-0.3813,-1.1825,1.1122,-1.0721,0.6555,1.1535,2.0206,-0.0663,-1.1534,0.0675,2.3323,0.2676,-1.018,0.6735,0.4609,-0.3025,-0.0524,0.4772,-2.4712,-0.9901,-0.4387,0.4966,-0.913,0.1676,-0.0553,0.3021,0.378,-1.0886,0.9791,-0.9455,0.8724,-1.8975,0.832,1.2273,-1.5103,-0.2582,0.9545,-0.763,0.9207,0.094,-0.8709,-0.5639,-2.7178,2.2561,0.4967,0.861,-0.4387,0.0031,0.8722,-0.6369,-0.814,-0.454
5.1444,-1.3853,0.8169,-0.3648,0.2005,0.6821,0.6706,-0.1793,-0.2713,-0.9112,0.4509,1.7998,-0.1477,0.3756,-1.7079,1.0875,1.4328,-1.5485,-0.8511,0.6023,-0.1307,-0.9061,0.5727,-1.4857,-0.5733,0.4392,0.9592,-1.8602,0.0605,-1.1654,1.3527,0.3294,1.0579,-0.3524,-0.8514,-0.9673,0.0138,1.248,-0.4553,-0.5905,0.0253,0.8088,1.0472,-0.1543,-1.1433,0.9658,-0.6652,0.0201,-0.3215,-0.439,0.1071,-1.4626,-1.6144,-0.8948,-1.377
-0.968,-1.4825,-0.9292,-1.1394,-0.8254,-1.5376,1.0441,-0.7667,0.0656,-0.5626,-1.2123,-0.4773,0.6324,1.0928,-0.5651,0.7233,1.2623,0.7115,0.0352,-1.2507,0.8878,-0.7987,-0.6373,-0.793,1.5658,1.4407,-0.6111,0.8809,0.1885,-0.89,-0.6927,0.2267,1.4882,-0.5365,2.5375,0.5423,-2.5151,-0.9115,-0.605,0.8511,-0.5535,-0.2363,0.9185,0.0766,0.6068,-0.7397,-0.8358,-0.9954,0.8939,-1.172,-0.7148,-0.3634,-0.5648,1.3674,-0.4643
0.2838,-0.0046,-0.28,-0.9455,0.3533,0.0478,1.2815,0.414,1.5537,0.6252,0.9575,0.056,1.6771,-1.4397,0.1612,2.2802,-0.4992,0.0253,1.39,-0.3929,-1.1056,0.8775,-0.7389,1.3007,-0.0689,-1.0181,0.9282,-0.1349,0.4077,1.7989,-0.4935,1.3433,1.6966,-0.1453,-0.5133,0.7114,-0.5783,0.4918,-0.0075,-0.3529,-0.7359,-0.4975,0.5612,1.1121,-0.2809,1.2737,-0.3744,-1.2159,-0.4885,-2.1187,0.4708,-1.0815,1.6497,-1.5311,-0.4366
-0.4935,-0.9882,2.1384,0.37,-0.5304,-0.5877,-0.6953,0.2183,-1.0736,0.1182,0.2268,1.3236,-0.4605,-0.1518,0.4343,-1.2437,-1.5959,-0.2068,-0.2809,0.0735,0.1522,0.893,0.1884,0.2979,-1.7026,0.3802,0.8177,-1.175,-0.7611,1.3597,0.4267,-1.1452,-0.0778,-0.3716,1.0865,1.025,-0.8141,0.863,-0.3763,0.3185,-1.2315,-2.0754,-1.2665,0.3776,-0.433,0.1676,1.899,0.4986,0.067,0.1569,-0.5514,0.3571,1.9437,-1.7583,0.7307
-0.8462,-0.4751,-0.0813,-1.4877,0.9128,-0.1798,-0.0914,-0.8549,0.4522,-1.1022,-0.0715,-0.2038,-1.1417,0.0461,0.4958,1.7055,-0.6032,0.2019,-0.5786,0.7102,0.8768,-1.0166,0.1992,1.1447,-0.3806,-1.2497,-1.0424,-0.4639,-0.6427,-1.6401,0.2519,0.2625,-0.3628,-2.3296,-0.4204,-0.7315,1.272,0.7148,0.0135,1.3057,1.514,-0.5719,0.3999,0.4382,-0.7597,0.9972,0.4841,-0.1769,2.244,-0.1804,0.1206,-0.4099,1.8869,-0.1281,-0.8838
-0.4618,0.273,0.327,0.4121,-1.0331,0.3006,0.0392,-0.6293,0.0381,-0.7728,-1.151,1.7596,0.195,-1.0485,0.9072,-1.4364,-1.4098,0.4937,0.3701,0.6393,-0.5221,-0.5058,-0.0499,1.2669,-2.118,0.6877,0.2973,-2.076,0.4017,-0.0101,-0.8654,0.6704,-0.2592,-0.7156,-0.5709,0.4843,0.0995,0.9472,-1.2551,-0.8633,-1.8207,-0.2433,-1.6117,-0.2679,1.1349,0.1938,-0.0742,0.4492,0.3784,0.3467,0.0154,0.7331,-0.831,1.1647,1.0126
-0.1338,-2.1768,0.5328,-0.979,-1.3302,0.0627,0.1659,-1.2722,1.412,1.0481,0.0224,-0.3425,0.0592,0.0388,0.0338,-0.439,1.0927,1.2422,0.4385,-1.0642,0.7657,-1.6046,0.1532,0.279,1.3626,0.0963,0.5927,-1.5596,-1.072,-0.8435,-0.7261,1.384,0.5621,-0.6433,0.2537,-0.6621,1.281,0.5262,0.0453,-1.5976,0.3772,-1.4717,-0.8557,-2.8907,0.3949,-0.7102,-0.6158,0.0864,1.4198,0.2695,-0.332,0.5073,1.205,0.1393,0.9369
0.935,0.8689,-1.3426,0.485,-1.5989,-1.5555,-0.7346,-1.0498,0.6491,1.1204,0.6486,0.807,3.0005,-0.0077,-1.006,1.3949,-0.5503,-0.7237,0.8532,0.6825,0.0456,-0.537,2.0907,-0.2917,2.2732,0.0113,1.0558,0.2153,0.662,0.1676,-0.5952,-0.9082,-0.1066,-0.8188,-0.5324,0.3796,-1.1052,-0.3315,0.1177,0.6702,-0.4348,1.3899,-0.4782,-0.694,-0.9905,-1.4855,0.8457,0.127,-1.9417,-0.1861,-2.4904,1.7213,0.6075,0.3893,-1.1931
0.2346,-1.1033,-0.3225,-0.6574,-0.0723,-2.9206,2.0804,1.266,1.0458,0.9277,-0.0669,-0.5942,-0.635,0.1728,-0.3669,1.5343,-0.355,0.2894,-0.8066,-0.2872,0.5072,-1.3021,-0.6207,0.6467,2.2335,-0.1134,0.7981,0.0858,1.4395,0.0673,-0.0375,-0.1255,-0.2799,-1.7388,-0.3029,-0.0426,-1.1706,0.1929,0.2239,0.045,0.9799,0.7158,-0.9264,-1.3903,-0.4588,0.3804,0.0646,-1.2918,0.2198,-0.1063,0.041,1.1697,-2.3841,-0.1592,0.674
