"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40","NNS41","NNS42"
-0.9225,-1.2542,-0.0363,0.4644,0.3092,-0.3939,1.2099,-1.2329,-0.8396,-0.0176,-0.0635,-0.6973,-0.2144,1.493,0.4586,-0.3548,0.7705,0.6148,0.8628,-1.1198,1.0276,-1.7458,-1.0805,-0.5772,0.6971,0.9944,-0.0021,-0.5111,-1.0561,-1.4261,1.5405,-0.6204,-0.4117,-0.3881,1.0556,-0.2728,0.2301,0.8891,0.5688,-0.6375,1.0657,-0.4802,0.2562,0.0255,-0.512,-1.3468,-0.4779,-0.0561,0.1846,0.6732
0.629,-0.4733,1.5277,-0.5119,-0.3675,-0.8897,0.7061,1.1532,-0.4984,0.6252,-0.9455,2.3576,0.1275,0.2696,-1.8562,-1.1713,-0.6069,1.0029,-1.5337,1.0519,-0.4477,-0.8186,-2.514,-0.1361,-0.6002,0.2407,0.8325,1.2647,-0.0466,-1.3039,-1.1498,-0.3688,0.5151,0.4714,1.3782,-0.0883,0.4467,1.4833,0.023,-4.166,0.5376,-0.2418,-1.0512,-0.2647,-0.4796,-0.6971,0.6997,-0.6023,0.7678,-0.3148
-0.9345,-0.6959,-0.8041,1.616,-0.4433,-0.9378,-0.0673,-0.1784,1.4648,-0.2748,-0.6339,-1.0198,-0.8948,-0.2257,-0.1642,-0.0087,-0.2209,-0.8027,0.4016,0.5093,-0.5515,-0.5953,0.2909,-1.6118,0.0608,0.4773,1.2604,-0.1576,0.1282,0.1719,0.5883,0.5934,-0.4097,-0.5344,-1.7854,-0.9931,0.3576,1.3749,-0.5727,-0.2529,1.4416,-0.7781,-1.3845,-0.312,0.6558,1.1714,0.5997,0.406,1.7959,-0.6575
-1.0703,0.7447,-1.0622,0.3426,-0.4831,0.2211,0.2875,-0.6802,0.2987,2.2524,-2.0305,-0.059,0.5519,1.2983,-0.1463,-1.0994,0.4794,1.5316,-0.0913,-0.3533,-1.8303,1.3006,0.179,1.0847,-0.0787,0.2657,-0.0966,1.156,0.4219,-0.0668,1.1116,0.3884,-0.7329,-0.7989,1.748,-2.0904,-0.7061,0.1698,1.0801,0.6237,-3.3079,0.0242,1.5504,0.7962,0.0271,1.5901,1.8103,-1.1062,-1.1194,-1.1
-0.2632,-0.3651,-0.1908,0.1698,1.4565,0.2794,-0.4755,0.5988,-1.3319,1.3224,0.6322,2.0381,0.3462,0.0198,0.4681,0.0518,0.8894,0.871,0.7514,-0.545,0.1454,0.3283,-1.274,-1.5126,-0.2733,-0.4951,-0.9442,-0.2387,0.6396,0.0266,-1.029,0.3938,0.9406,0.6749,0.736,-0.579,1.1445,-0.2057,0.7183,-1.0311,0.5075,0.7668,0.533,0.8737,0.1562,0.2542,-0.1334,-0.3907,-0.5521,-1.2254
-0.6707,-1.1748,-3.4269,0.616,0.4145,0.4707,-2.1543,-0.4119,-1.18,-1.1111,0.2247,0.4166,-0.9113,-0.1568,-1.2573,-0.1343,-1.0547,0.2152,0.5673,0.2529,2.0326,1.1177,1.2569,0.6046,-1.3774,-1.886,0.7362,0.6824,0.7882,-1.2375,1.3237,0.9921,1.1952,0.5879,1.3179,1.0928,2.4472,0.2501,2.0093,1.1843,0.9396,-0.863,-0.065,-1.5957,-1.1125,-0.7088,-0.5356,0.8513,0.9504,-0.8842
-0.8075,1.4424,0.7618,-0.1483,1.0316,-0.1106,0.4793,-1.3688,-0.2625,-1.0454,1.4269,-0.5021,0.5039,0.68,-1.1668,0.0981,1.781,0.5879,-0.5677,0.8787,0.5238,0.8895,0.3717,2.4677,0.2328,0.5415,-0.9899,1.3678,-1.0249,0.3188,0.7009,1.3973,-1.4958,-0.9364,-1.2297,0.3072,-0.1999,-0.7638,-0.2921,-0.0763,-0.0875,0.932,0.2956,-0.1254,0.3119,-0.0809,0.4421,0.5617,0.7017,-1.3584
0.1677,0.207,-0.2243,-1.5011,1.6167,0.1883,0.7758,0.7175,0.3872,-0.348,0.6472,0.9328,0.4951,-0.5813,-0.7091,-0.5115,0.2693,-0.4191,1.0026,-0.8107,1.2699,0.4051,0.4642,-2.4298,-0.1468,-1.7246,0.969,-0.7563,0.2613,1.0734,1.8429,0.9976,-1.0065,-0.2502,0.3155,1.3691,-0.4406,0.2912,1.5247,0.1963,-2.513,-0.6017,-0.274,1.5301,1.8421,-1.0231,1.2544,1.4673,-1.6265,-0.2459
-0.2858,0.082,-2.7963,0.6983,1.4091,0.4688,0.2978,-0.0369,0.1348,-0.2298,-0.2969,0.4184,-0.618,-0.9465,0.4743,-0.6921,0.2831,0.2389,1.0686,0.38,0.3986,-1.0503,-1.2271,-0.5563,-1.3351,-0.44,-0.6301,0.0219,0.3827,-1.7009,-0.8163,0.067,0.2305,-0.2122,1.1993,0.8485,-0.7108,-0.9874,-0.1889,-1.1076,-0.9508,1.2306,-0.3998,0.1718,0.4478,0.8517,0.6005,-0.4667,1.5779,-1.7453
0.5561,2.0975,0.1258,-1.4508,-2.3862,-0.1392,-0.8415,-1.172,-0.6717,-2.2342,-0.0402,0.4989,-0.3387,0.7639,1.5071,0.0496,0.521,-1.5106,-0.7304,1.1212,-0.0271,-0.6588,0.3627,0.9892,0.7816,-1.2381,0.4669,2.7239,-1.335,0.017,-0.3084,-0.6951,-0.089,-0.5239,0.5448,-1.5035,-0.652,-1.4076,-0.2432,-0.3645,0.2173,-1.0151,-1.2925,0.45,2.0193,0.5875,-0.9818,-0.1811,-0.828,-0.9624
-0.5525,-0.6727,0.0723,1.1012,0.3241,1.7578,-0.1606,-1.3235,-0.0203,0.6773,-0.4237,0.5412,1.0154,-0.0478,0.625,-2.3641,1.7106,1.5578,-0.1273,0.5551,-0.1009,-0.1937,0.3347,-0.726,-1.1759,0.5433,-1.5332,0.0089,-1.1268,0.2835,-0.1528,1.2242,0.4787,-1.4444,0.9454,-1.02,-0.7831,-1.3736,1.0373,1.2549,-0.3372,-0.4436,-1.1085,-0.5167,0.2002,-1.5966,-0.1071,0.6667,2.0134,-1.7091
